video_time,job_id
1.03333333333,usw3p_c23d8e42-ff78-4bad-bc9a-7d4f98917616
1.53333333333,usw3p_9295d565-4930-4d5a-8cea-538c3fc15443
2.03333333333,usw3p_f4bfed96-8bf7-4bff-a371-edabc88cfa20
2.53333333333,usw3p_ada2164d-93d9-422a-b79b-d1a3be2a6723
3.03333333333,usw3p_5e385528-6de0-4bec-87f7-50f6191b53ac
3.53333333333,usw3p_da63bc9f-74b2-4bee-834e-1626a7e67fab
4.03333333333,usw3p_c77a7e38-e4a7-4231-a5cf-ad0aa5d401bf
4.53333333333,usw3p_a19a9c6e-f870-41a3-8b91-32cbb479bd6e
5.03333333333,usw3p_c75e4dbb-2d94-4be3-862c-fbd2a3feb673
5.53333333333,usw3p_20f45e1d-bd6b-4089-90a9-a09a997492bb
6.03333333333,usw3p_063337f8-68af-4b4b-bf27-665d80daff4b
6.53333333333,usw3p_fa008fcc-0c67-4241-8d8a-4089be172451
7.03333333333,usw3p_9f567dba-30c2-4424-b9db-adce196d1811
7.53333333333,usw3p_20c01769-df32-4947-947e-31d38826e60d
8.03333333333,usw3p_eeddea01-bb56-4c55-84dd-b4aba62f7137
8.53333333333,usw3p_5879c713-95c9-49f1-8c67-d094b8f99204
9.03333333333,usw3p_5ca2ad11-1512-4491-9c87-ebc1d0bc7038
